Naziv,Adresa,Mjesto,ePosta,Telefon,Zupanija,PostanskiBroj
"Dječji vrtić ""Ribica""",Ive Senjanina 14 a ,Zadar,dvribica@yahoo.com,023/311-844,Zadarska županija ,23000
"Dječji vrtić ""Zvončić""",Ulica Petra Krešimira IV. 2,Gornji Poličnik,d.v.zvoncic@zd.t-com.hr,023/354-193,Zadarska županija ,23241
"Dječji vrtić ""Kocka kockica""",Mate Balote 50,Zadar,vedranajerkicperic@gmail.com,023/335-220,Zadarska županija ,23000
Dječji vrtić Osijek,Vijenac Ivana Meštrovića 7,Osijek,dvo@vrticiosijek.hr,031/204-700,Osječko-baranjska županija ,31000
"Dječji vrtić ""Đakovo"" ",L.Botića 7/A,Đakovo,djecjivrticdakovo@gmail.com,031/811-305,Osječko-baranjska županija ,31400
"Dječji vrtić ""Cvrčak""",Vladimira Nazora 34a,Beli Manastir,vrtic.cvrcak@gmail.com,031/701-318,Osječko-baranjska županija ,31300
"Dječji vrtić ""Radost""",Ulica žrtava Domovinskog rata,Darda,vrtic@dvradost.hr,031/740-412,Osječko-baranjska županija ,31326
"Dječji vrtić ""Maslačak""",Vijenac dr. Franje Tuđmana 2,Belišće,vrtic.belisce@gmail.com,"031 662 455, 031 663 755",Osječko-baranjska županija ,31551
"Dječji vrtić ""Maza""",Prilaz Crvenom križu,Valpovo,"vrtic@vrticmazavalpovo.hr, ravnatelj@vrticmazavalpovo.hr",031/651-451,Osječko-baranjska županija ,31550
"Dječji vrtić ""Tintilinić""",J. KOZARCA 7,Koška,info@vrtic-tintilinic-koska.hr,031-681-400,Osječko-baranjska županija ,31224
"Dječji vrtić ""Pinokio""",Prilaz stadionu 3,Donji Miholjac,djecjivrticpinokio@gmail.com,031 631-919,Osječko-baranjska županija ,31540
"DV ""Zvončić""",Dore Pejačević 4,Našice,ravnateljicavrticna@gmail.com; djecji.vrtic.zvoncicnasice@os.t-com.hr,031/613-215,Osječko-baranjska županija ,31500
"Dječji vrtić ""Jaglac""",Ulica Alojzija Stepinca 3,Đurđenovac,djecji.vrtic.jaglac@os.t-com.hr; djecji.vrtic.jaglac@gmail.com,031/601-614   - 0992842879,Osječko-baranjska županija ,31511
"Dječji vrtić ""Sunčev sjaj - Nazaret""",Frankopanska 1a,Đakovo,montessori.nazaret@gmail.com,031/801-255,Osječko-baranjska županija ,31400
"Dječji vrtić ""Grlica""",Biljske satnije ZNG RH 11a,Bilje,dvgrlica.bilje@gmail.com ,031/750-144,Osječko-baranjska županija ,31327
"Dječji vrtić ""Zeko""",Glavna 84A,Kneževi Vinogradi,dvzekoknvin@gmail.com,031/731-012,Osječko-baranjska županija ,31309
"Dječji vrtić ""Mali princ""",Meštrovićeva 24,Rijeka,mali.princ@ri.t-com.hr,099 / 22 38 208,Primorsko-goranska županija ,51000
"Dječji vrtić ""En ten tini""",144.brigade Hrvatske,Sesvete,vrtic-ententini@zagreb.hr,01/5580133,Grad Zagreb,10360
"Dječji vrtić ""Calimero""",Put Josipa Kosora 14,Dubrovnik,vjera.prohaskadj@gmail.com,020/ 332-893,Dubrovačko-neretvanska županija ,20000
Kraći program predškolskog odgoja pri Osnovnoj glazbenoj školi Jan Vlašimsky Virovitica,A. Mihanovića 21,Virovitica,glazbena@vlasimsky.hr,033 721 805,Virovitičko-podravska županija ,33000
"Dječji vrtić ""Regoč""",Luke Botića 23,Tenja,dv.regoc@yahoo.com,098/300-093,Osječko-baranjska županija ,31207
Dječji vrtić ZVIREK,Mlinarska cesta 34,Stubičke Toplice,zvirek@dv-zvirek.hr,049 283 355; 091 283 3550,Krapinsko-zagorska županija ,49240
"Dječji vrtić ""Košnica""",Medpotoki 1a,Zagreb,info@dv-kosnica.hr,01/3470 326,Grad Zagreb,10000
"Dječji vrtić ""Klokan""",Ulica admirala Šubića de Cesana 33,Zadar,dvklokan@yahoo.com,0911188039,Zadarska županija ,23000
"Dječji vrtić ""Limač""",Dubravica 52,Zagreb,ravnatelj@limac.hr,091-305-2009,Grad Zagreb,10000
"Dječji vrtić ""Potočić Pisarovina""",Velika Jamnička 1,Pisarovina,dv.potocic.pisarovina@gmail.com,01 6291 032,Zagrebačka županija ,10451
"Dječji vrtić ""Osmjeh""",Jurja Barakovića 2a,Starigrad,dv.osmjeh@gmail.com,023369070,Zadarska županija ,23244
"Dječji vrtić ""More""",Biogradska 5,Zadar,baresict@gmail.com,091 797 1234,Zadarska županija ,23000
"Dječji vrtić ""Dabrić""",Trg svetog Trojstva 45,Legrad,djecji.vrtic.dabric@kc.t-com.hr,048 835 318,Koprivničko-križevačka županija ,48316
"Dječji vrtić ""Višnjan""",Jože Šurana 2/a,Višnjan,djecji.vrtic@visnjan.hr,052 556521; 091 449 0005,Istarska županija ,52463
Kraći glazbeni program pri Umjetničkoj školi Beli Manastir,Kralja Tomislava 2,Beli Manastir,usbm.bm@gmail.com,031 705 027,Osječko-baranjska županija ,31300
"Dječji vrtić ""Dječji san""",Svetonedeljska 18,Sveta Nedelja,sanja.coha1@zg.ht.hr,098 92 66 512,Zagrebačka županija ,10431
Dječji vrtić MORE,"Pineta 17, Valbandon",Fažana,djecjivrticmore@gmail.com, 091 4712364 ili 091 9063368,Istarska županija ,52100
"Dječji vrtić ""MALI DUPIN""",Šibenska 37,Split,anka@andjeli.hr,021 569 561,Splitsko-dalmatinska županija ,21000
"Udruga ""LEPTIR"", igraonica ""Mrav""",Grobljanska 20,Donji Andrijevci,leptir@udruga-leptir.hr,091 2853 553,Brodsko-posavska županija ,35214
Predškolski program pri OŠ Antuna i Stjepana Radića,Miroslava Krleže 2,Gunja,ured@os-antunistjepanradic-gunja.skole.hr,032 881 115,Vukovarsko-srijemska  županija ,32260
"Dječji vrtić ""Kockice""",Štrigova bb,Štrigova,dj.vrtickockice@gmail.com,040/851 208; 099 51 44 245,Međimurska županija ,40313
"Dječji vrtić ""Šuškalica""",Put Murvice 17,Zadar,ksaricradan@gmail.com,095 810 9300,Zadarska županija ,23000
"Dječji vrtić ""Mala kuća""",Vrhovec 81,Zagreb,inesm@kindiezg.com,098 921 3195,Grad Zagreb,10000
"Udruga ""Sunčica""",Ul. kralja Zvonimira 5/2,Velika Gorica,kovacjadranka64@gmail.com,099 6215 407,Zagrebačka županija ,10410
"udruga Univerzalna športska škola ""Junior""",M. Krleže 1,Varaždin,jagacicsnjezana@gmail.com,042 210 730,Varaždinska županija ,42000
"Dječja igraonica udruga ""MAKI""",Ulica Matije Gupca 8,Andrijaševci,svjetlana.drazenovic@gmail.com,032 372 504,Vukovarsko-srijemska  županija ,32271
Gradska knjižnica i čitaonica Virovitica,Trg bana Josipa Jelačića 5,Virovitica,racunovodstvo@knjiznicavirovitica.hr,098 988 5503,Virovitičko-podravska županija ,33000
"DV ""PANDA""",Zagrebačka 194,Zagreb,info@dv-panda.hr,091/4440-093,Grad Zagreb,10000
"Dječji vrtić ""Cvrčak-Posedarje""",Športska ulica 1a,Posedarje,dvcvrcakposedarje@gmail.com,023 266703,Zadarska županija ,23242
"Dječji vrtić ""Val""",Ulica Joze Krstića 7,Zadar,djecji.vrtic.val@gmail.com,098306687,Zadarska županija ,23000
"Dječji vrtić ""Lira""",Josipa Kozarca 31,Slavonski Brod,vrticlira@gmail.com,099 448 1599,Brodsko-posavska županija ,35000
Dječji vrtić Žirek,Kralja Stjepana Tomaševića 17c,Velika Gorica,info@dv-zirek.hr,01 6215 572,Zagrebačka županija ,10410
"Dječji vrtić ""Mala oaza""",Dravska bb,Bartolovec,dvmalaoaza@gmail.com,098 1828 368,Varaždinska županija ,42202
Dječji vrtić Lojtrica,Smendrovićeva 9,Velika Mlaka,tajnica@dv-lojtrica.hr; psiholog@dv-lojtrica.hr; upisi@dv-lojtrica.hr,"01 6254 954, 6231 598",Zagrebačka županija ,10410
"Dječji vrtić ""Čarobna šuma""",Trg sv.Florijana 14 ,Križevci,vrtic.carobnasuma@gmail.com,048/498-539,Koprivničko-križevačka županija ,48260
Dječji vrtić Koraci,Alojzija Stepinca 12,Velika Gorica,koraci.ravnateljica.maja@gmail.com,   016218809,Zagrebačka županija ,10410
Dječji vrtić Mala tratinčica,I. Zaloka 1g,Podturen,djecjivrticmalatratincica@gmail.com,099/2865511 098/798340,Međimurska županija ,40000
Udruga JUDO KLUB SAKURA,Okićka 18,Sveta Nedelja,jk.sakura@hotmail.com,0977824020,Zagrebačka županija ,10431
"Udruga za kreativni razvoj ""VAL""",Maksimirska 76,Zagreb,mirjana.gusic.gulic@gmail.com,091 790 1119,Grad Zagreb,10000
Udruga za rano učenje stranih jezika CVRČAK,IV. Poljanice 4,Zagreb,vesna@mvmcvrcak.hr,01 2923272,Grad Zagreb,10000
Udruga za promicanje plesnog izražaja mladih LAUTITIA,11. Trokut 3,Zagreb,pasiva@pasiva.hr,0914018881,Grad Zagreb,10000
Dječji vrtić Četiri rijeke (Rakovac),Grge Tuškana 9 a,Karlovac,dv4rijeke@vrtic-cetiririjeke.hr; ravnateljica@vrtic-cetiririjeke.hr,047 659 001,Karlovačka županija ,47000
Ritmičko plesna udruga Mali cvrčak,IV. Poljanice 4,Zagreb,cvrcak@mvmcvrcak.hr,01 2923272,Grad Zagreb,10000
Udruga za promicanje engleskog jezika i kulture BARNI,Matijašec 13,Zagreb,udruga.barni@gmail.com,01 234 8530 / mob 098705561,Grad Zagreb,10000
Udruga SPORT BILLY,Prilaz S. Raškaj 5,Zagreb,bkubla@yahoo.com,0951975008,Grad Zagreb,10000
"Udruga Univerzalna sportska škola ""3 PLUS""",III. Pile 25,Zagreb,zorandurmis@gmail.com,098 1700 413,Grad Zagreb,10000
Udruga POPEYE,Stubička 8,Zagreb,mmegipopeye@gmail.com,091 253 9443,Grad Zagreb,10000
Udruga SPIKA,Badalićeva 2,Zagreb,kramer@inet.hr,01 369 86 79,Grad Zagreb,10000
Udruga Tenis klub ZAGI,Havidićeva 38,Zagreb,tkzagi@gmail.com; luka.korov@gmail.com; mjarcov@gmail.com,09232413357; 0916600811,Grad Zagreb,10000
Udruga Sportska piramida,Vidovečka,Zagreb,sportskapiramida@gmail.com,091 513 2112,Grad Zagreb,10000
Udruga Društvo sportske rekreacije Mali sportaši,Karašička 35,Zagreb,malisportasi@malisportasi.hr,091 513 24 26,Grad Zagreb,10000
Udruga Plesni studio Step by step (KORAK PO KORAK),II. Maksimirsko naselje 3,Zagreb,info@stepbystep.hr,091 1406951,Grad Zagreb,10000
"Udruga Društvo športske rekreacije Sport za sve ""Špansko-Zagreb""",Bernarda Vukasa 28,Zagreb,tokicstipe9@gmail.com,091 787 5220,Grad Zagreb,10000
"Udruga Društvo športske rekreacije ""ŠPORTIĆI""",Siget 16d,Zagreb,robert@sportici.hr,091 5156024,Grad Zagreb,10000
Udruga za šport djece i mladeži Čakovec,Sportska 2,Čakovec,teahatlak@gmail.com,0981785801,Međimurska županija ,40000
"Dječji vrtić ""Harfa""",Špansko 26,Zagreb,djecjivrtic.harfa@gmail.com,091 7809840,Grad Zagreb,10000
Kraći glazbeni i plesni program pri Umjetničkoj školi Matka Brajše Rašana,Alda Negrija 11,Labin,ured@us-mbrasana.skole.hr,052 885 443 i 052 885 439,Istarska županija ,52220
Dječji vrtić Čarobna kućica,Horvatnica 36,Zagreb,info@dv-carobna-kucica.hr,"092 268 9227, 098 418 528",Grad Zagreb,10000
Dječji vrtić Žabac,Srednjaci 7,Zagreb,info@vrticzabac.hr,01 5531 400,Grad Zagreb,10000
Udruga Plesni centar PULS,Park Ribnjak 1,Zagreb,ambogdanovic@yahoo.com; kontakti.pcpuls@gmail.com,0914112150,Grad Zagreb,10000
Plesna udruga MEDVJEDIĆI,Predovečka 11,Zagreb,marijeta.levak@gmail.com,091 545 95 89,Grad Zagreb,10000
Udruga NAUČIMO PUNO,Đure Domaćinovića 11,Zagreb,info@naucimopuno.hr,016620133,Grad Zagreb,10000
udruga Društvo Naša djeca,Ulica Maršala Tita 157,Opatija,info@dnd-opatija.hr,051 272 443,Primorsko-goranska županija ,51410
"Udruga Društvo za sportsku rekreaciju ""Modus klub""",Šišićeva 24,Zagreb,lilekd@gmail.com,098 478 061,Grad Zagreb,10000
"Udruga Športski klub ""Unisport-Samobor""",Ulica Ivana Perkovca 90,Samobor,skolman@inet.hr; andreja.popovic@yahoo.com,"091 7247 211, 098 1633 949",Zagrebačka županija ,10430
"Udruga Plesni studio ""SAM-SA""",Dalmatinska 15,Zagreb,samsa.zg@gmail.com,098/205153   ;  01/4848735,Grad Zagreb,10000
"Dječji vrtić ""KOKO""",Stubička 18/1,Sesvete,koko.vrtic@gmail.com,01/2000 144,Grad Zagreb,10360
Dječji vrtić Mali prijatelji,Marka Vukasovića 19a,Samobor,maliprijatelji.ravnatelj@gmail.com,0914553784,Zagrebačka županija ,10430
Športska udruga CVRČAK SPORT,IV. Poljanice 4,Zagreb,vesna.cvrcak@gmail.com,01 2923272,Grad Zagreb,10000
Gradska knjižnica Franjo Marković Križevci,Trg svetog Florijana,Križevci,knjiznica-krizevci@kc.t-com.hr,048/682-646,Koprivničko-križevačka županija ,48260
Program predškolskog odgoja pri OŠ Katarine Zrinski,Krnjak 20,Krnjak,ured@os-kzrinski-krnjak.skole.hr,047/727-200,Karlovačka županija ,47242
STUDIO LEPEZA,Pazinska 21,Zagreb,lepeza.info@gmail.com,0989742724,Grad Zagreb,10000
"Udruga ""SPORTSKI PROGRAMI""",Vodnikova 3c,Zagreb,zeljko.hraski@kif.hr,098 314 650,Grad Zagreb,10000
Program predškole pri OŠ Katarina Zrinski ,Mečenčani bb,Donji Kukuruzari,ured@os-kzrinska-mecencani.skole.hr,044 637112,Sisačko-moslavačka županija ,44430
Udruga TUTOR,Našička ulica 14A,Zagreb,vedrana.zupic@gmail.com,+385 91 5090 205,Grad Zagreb,10000
"Dječji vrtić ""RUNOLIST""",Žarovnica 110j,Lepoglava,djecjivrticrunolist@gmail.com,0913106862,Varaždinska županija ,42250
"Sportska udruga ""SLAVUJI""","KERESTINEC, KERESTINEČKA 46",Sveta Nedelja,suslavuji@gmail.com,0912525024,Zagrebačka županija ,10431
"Dječji vrtić ""KOCKICA""",Pešćanska 162,Zagreb,katalinic.sandra@gmail.com,099/7572308,Grad Zagreb,10000
"Dječji vrtić ""VRAPČIĆ""",Soblinečka 29,Kašina,dv.vrapcic@gmail.com,098/266992,Grad Zagreb,10362
"Dječji vrtić ""ZVONČICA""",Put od Fortice 29,Pula,djecjivrticzvoncica@gmail.com  ,098/1605693,Istarska županija ,52100
"Dječji vrtić ""ŠARENI SVIJET""",Frankopanska 180,Požega,djecjivrticsarenisvijet@yahoo.com,"034 201 537, 099 861 5176",Požeško-slavonska županija ,34000
"Udruga ""TVORNICA SMIJEHA""",Kralja Tomislava 25,Ivanić-Grad,vlahek.ivana@gmail.com; info@tvornica-smijeha.hr,"091881 8931, 091 7202 404",Zagrebačka županija ,10310
"Dječji vrtić ""RIBICA""",Čulinečka cesta 190,Zagreb,djecjivrtic.ribica@gmail.com,098468281; 098278914,Grad Zagreb,10000
Udruga SPORTSKO DRUŠTVO OLYMPIC,Milana Rešetara 8,Zagreb,sasa.vujaklija@gmail.com,098544867,Grad Zagreb,10000
Dječji vrtić ŽIRAFA,Ante Mandića 50,Rijeka,djvrticzirafica@gmail.com,0911520400,Primorsko-goranska županija ,51000
"DV ""LANE""","Bogdanovačka 21, Uske njive",Osijek,dv-lane.os@hotmail.com,031-580-051,Osječko-baranjska županija ,31000
Dječji vrtić ZVONO,Klake 4,Zaprešić,info@vrtic-zvono.org,01/3315-517,Zagrebačka županija ,10290
Dječji vrtić SUNCOKRET - NOVIGRAD,Emonijska 6,Novigrad,girasole.suncokret@gmail.com,052 726 864,Istarska županija ,52466
"Dječji vrtić ""MALI ISTRAŽIVAČ""",Ede Murtića 7,Zagreb,josipa@mali-istrazivac.hr,099 444 8881,Grad Zagreb,10000
Dječji vrtić Bregunica,Drenovica 6,Novo Virje,vrtic.bregunica@gmail.com,048/ 810 -022,Koprivničko-križevačka županija ,48350
"Dječji vrtić ""MALI MORNARI""",Grljevačka 33,Podstrana,malimornari@gmail.com,091 7623 122,Splitsko-dalmatinska županija ,21311
DV Snjeguljica,Bože Starca Jurićeva 58,Rijeka,dvsnjeguljicari@gmail.com,051/639 668,Primorsko-goranska županija ,51000
"Talijanski dječji vrtić ""Pinocchio"" - Scuola italiana dell infanzia ""Pinocchio""",Kornatski prilaz 9,Zadar,pinocchiozara@gmail.com,023 321956,Zadarska županija ,23000
"Udruga Društvo športske rekreacije ""SPORTSKA ABECEDA""",Milkovićeva 32,Varaždin,sportska.abeceda@gmail.com,0918867164,Varaždinska županija ,42000
"Dječji vrtić ""Maleni talenti""",Remetski kamenjak 10,Zagreb,malenitalenti@educarena.com,098 823 988,Grad Zagreb,10000
Udruga GAUDEAMUS FUTURUS FAKTOR,Ulica Stjepana Radića 10,Osijek,kristina.sakic@gaudeamus.hr,031 200828,Osječko-baranjska županija ,31000
"Dječji vrtić ""Čarobni dvorac""",Trg Ivana Kukuljević,Zagreb,ajm8889@gmail.com,"01 389 0006,    098 907 5277",Grad Zagreb,10000
"Dječji vrtić ""SUNČEKO""",Zavrtnica 3/1,Zagreb,info@djecji-vrtic-sunceko.hr,091 151 7395,Grad Zagreb,10000
Dječji vrtić Čarobni svijet u Rešetarima,Vladimira Nazora 17A,Rešetari,vrtic@resetari.hr,035 367 231,Brodsko-posavska županija ,35400
"Dječji vrtić ""GOLUBICA""",Madijevaca 8,Zadar,golubica.vrtic@gmail.com,0912626135,Zadarska županija ,23000
Udruga UČI PJEVAJUĆI,Ulica Antuna Mihanov,Ludbreg,ivana.horvat17@gmail.com,0958747983,Varaždinska županija ,42230
Udruga za sport i rekreaciju TVORNICA SPORTA,Cvjetna ulica 9,Požega,tvornicasporta@gmail.com,098 517 805,Požeško-slavonska županija ,34000
udruga Rekreativno društvo SPORT EDUCA,Trakošćanska ulica 30,Zagreb,info@sport-educa.hr,091 4411244,Grad Zagreb,10000
udruga Gimnastički klub MZ MACAN Čakovec,Ulica Tome Masaryka ,Čakovec,gkmacan@gmail.com,040 311078,Međimurska županija ,40000
Dječji vrtić RIBICA,Ulica Tina Ujevića 1,Podbablje Gornje,djecjivrticribica0@gmail.com,099 281 0722,Splitsko-dalmatinska županija ,21260
DV MARUŠKICA,Put Škara 1,Škabrnja,djecji.vrtic.maruskica@gmail.com,0994417602,Zadarska županija ,23223
Dječji vrtić Snjeguljica,Krstova 44,Osijek,djecjivrtic.snjeguljica@gmail.com,031/494-812,Osječko-baranjska županija ,31000
SPORTSKA AKADEMIJA S10,Kralja Zvonimira 90b,Vinkovci,info@sport-s10.hr,098/830-489,Vukovarsko-srijemska  županija ,32100
Dječji vrtić BAJKA,Nuštarska 4,Vinkovci,bajkadjecjivrtic@gmail.com ,032/301 006,Vukovarsko-srijemska  županija ,32100
Dječji vrtić Bubamara,Prilaz Andrije Hebranga 10,Bjelovar,dvbubamarabj@gmail.com,043/263-231,Bjelovarsko-bilogorska županija ,43000
Sportsko društvo Lavići,Fra Filipa Grabovca 20,Zagreb,danko@sportski-lavici.hr ,"014650769, 091/5331349",Grad Zagreb,10000
Hrvatski skijaški klub Žuti mačak,Junija Palmotića 23,Zagreb,info@zutimacak.hr,01/4880 612;098/288 581,Grad Zagreb,10000
Udruga Svjetlost u pokretu,Branimira Gušića 1a,Zagreb,rupcichtatjana@net.hr,01/381 81 67,Grad Zagreb,10000
Dječji vrtić Mačak u čizmama,Kvintička 82-84,Zagreb,info@macakucizmama.hr,0994391798,Grad Zagreb,10000
Udruga Udruženje Djeca prva,Hrvatskog proljeća 3,Zagreb,djeca.prva@djeca-prva,"01/2947-066, 01/2947-061",Grad Zagreb,10000
Tenis klub Gomiš,Ul. Vincenta iz Kast,Zagreb,tkgomis@gmail.com,091/4222407,Grad Zagreb,10000
"Dječji vrtić ""Pingvin""",Svetoklarska 7,Zagreb,info@vrtic-pingvin.com,095/888 77 86,Grad Zagreb,10000
Program predškolskog odgoja pri Osnovnoj školi Antun Klasinc Lasinja,Trg hrvatskih branitelja 11,Lasinja,ured@osakl.hr,047/884-199,Karlovačka županija ,47206
Dječji vrtić Roda,Vulinčeva 1,Ivanić-Grad,dv.roda.ivg@gmail.com,01/3885328,Zagrebačka županija ,10310
Kraći program odgojno-obrazovnog rada- Igraonica Bamblek pri Knjižnici Nikola Zrinski Čakovec,Trg Republike 4,Čakovec,knjiznica-cakovec@ck.t-com.hr,040/310595,Međimurska županija ,40000
Udruga Društvo naša djeca ,Kralja Tomislava 2,Kloštar Podravski,jdjipalo@gmail.com,098/1663405,Koprivničko-križevačka županija ,48350
"Program predškolskog odgoja pri Udruzi ""Art-akademija""",Pavla Lončara 1c,Zaprešić,viktorijafrajman1@gmail.com,"3315-738, 095/533-0985",Zagrebačka županija ,10290
Dječji vrtić Sreća,Braće Slukan 2,Varaždin,dvsreca@gmail.com,091/5458803,Varaždinska županija ,42000
"Dječji vrtić ""Ružičnjak""",Prigornica 2,Zagreb,ured@djecjivrticruzicnjak.hr,01/3491-414,Grad Zagreb,10000
"Dječji vrtić ""Bodulić""",Ulica Krešimira Ćosića 4,Dobropoljana,dvbodulic@gmail.com,023/374-528,Zadarska županija ,23262
"Dječji vrtić ""Šareni leptirić""",Domovinskog rata 28A,Solin,dopar.loreta@gmail.com,021/785-455,Splitsko-dalmatinska županija ,21210
"Dječji vrtić ""Dobro drvo""",Strojarska 26,Zagreb,dobrodrvo@protonmail.com,01/8897-928,Grad Zagreb,10000
Dječji vrtić Igra,Kneza Domagoja 93,Koprivnica,djecji.vrtic.igra@gmail.com,048/864166,Koprivničko-križevačka županija ,48000
"Judo klub ""Panda Pušća""",Ravnice 6,Donja Pušća,judopusca@gmail.com,098/1837-057 tajnik Ivana Mara,Zagrebačka županija ,10290
Mirjana Sever d.o.o.,Park Rudolfa Kropeka,Čakovec,skola@mirjanasever.hr,040/312-391,Međimurska županija ,40000
"Dječji vrtić ""Hlapić""",Ulica Nikole Tesle 4,Zadar,kikic_13@net.hr,0915155124 0994016914,Zadarska županija ,23000
"Judo klub ""Zagrebačka judo škola""",Kuhačeva 5,Zagreb,info@zagrebackajudoskola.com,0915647745,Grad Zagreb,10000
"Dječji vrtić ""Vesela pandica""","Pere Pirkera, II. odvojak 19",Sesvete,dvpandica@gmail.com,01 5807 777,Grad Zagreb,10360
"Ustanova za upravljanje sportskim objektima ""Sportski objekti Samobor""",Andrije Hebranga 26a,Dubrava Samoborska,vladimir.cerkez@samobor.hr,013378901,Zagrebačka županija ,10430
Dječji vrtić Slatki svijet,Limska 3,Pula,dvslatkisvijet@gmail.com,052 556610,Istarska županija ,52100
Dječji vrtić Petar Pan,Vladimira Nazora 23,Drenovci,lidija_petarpan13@hotmail.com,098/805 625,Vukovarsko-srijemska  županija ,32260
Klizačko-koturaljkaški klub Medveščak,Schlosserove stube 2,Zagreb,info@kkkmedvescak.hr,0958136014,Grad Zagreb,10000
Društvo športske rekreacije BUBA,Ulica Ivana Rendića 30,Zagreb,sandra.miletic@inet.hr,01/2305266,Grad Zagreb,10000
LINGUA CENTAR d.o.o.,Dr. Vladka Mačeka 28,Karlovac,lingua-centar@lingua-centar.hr,047 421 800,Karlovačka županija ,47000
Didasko d.o.o.,Športska 6a,Čakovec,lidija.buljan@didasko.hr,040/391072,Međimurska županija ,40000
"Dječji vrtić ""Čarobno ogledalce""",Selnička 2a,Varaždinske Toplice,vrticcarobnoogledalce@gmail.com,"099/330-7000, 042/218-876, R: ",Varaždinska županija ,42223
STUDIO ŽERJAV d.o.o.,Carinarski odvojak 1,Čakovec,studio.zerjav@gmail.com,040/328-094   098 613 620,Međimurska županija ,40000
Program predškolskog odgoja pri Osnovnoj školi Stjepana Radića Čaglin,Vladimira Nazora 1,Čaglin,os-caglin@os-sradica-caglin.skole.hr,034/221 028,Požeško-slavonska županija ,34350
Dječji vrtić Luna,Medovićeva 35,Rijeka,djecjivrticluna@gmail.com,0916052400,Primorsko-goranska županija ,51000
"Udruga ""Slagalica""",Bartola Kašića 6,Đakovo,ambra.rene@gmail.com,0915631267,Osječko-baranjska županija ,31400
Program predškolskog odgoja i program predškole pri OŠ Lovas,Matije Gupca 2,Lovas,ured@os-lovas.skole.hr,032/525140,Vukovarsko-srijemska  županija ,32237
Program predškole pri OŠ Zadarski otoci-Zadar,Trg Damira Tomljanovića Gavrana 2,Zadar,ured@os-zadarski-otoci-zd.skole.hr,023/312-224,Zadarska županija ,23000
"Dječji vrtić ""Krijesnica""",Ulica Vladimira Nazora 3a,Mali Bukovec,krijesnica@mali-bukovec.hr,042 843 277 ,Varaždinska županija ,42230
Dječji vrtić Smilje ,Prilaz tvornici 39B,Šibenik,uprava@dv-smilje.hr,022 550 508,Šibensko-kninska županija ,22000
"Dječji vrtić ""Ivančica Oriovac""",Luke Ilića bb,Oriovac,vrticoriovac@gmail.com,035/409-787,Brodsko-posavska županija ,35250
Dječji vrtić Cipelica,Vukovarska 15,Čakovec,info@dv-cipelica.hr; g.solticsiladi@dv-cipelica.hr,040/500796; 040/500797,Međimurska županija ,40000
Program predškole pri OŠ Čakovci,Šandora Petefija 8,Čakovci,skola@os-cakovci.skole.hr,032/534-134;  098 9275126,Vukovarsko-srijemska  županija ,32238
"Sportsko društvo ""Skok po skok""",Ilica 177,Zagreb,skokposkok1@gmail.com,0921915138,Grad Zagreb,10000
"Dječji vrtić ""Dječji koraci""",Oreškovićeva 6h,Zagreb,dvdjecjikoraci@vip.hr,01/551-4479,Grad Zagreb,10000
"Dječji vrtić ""Čarobni svijet""",Remetski kamenjak 1,Zagreb,info@carobnisvijet.net,0989288757,Grad Zagreb,10000
Program predškole pri OŠ Ivan Goran Kovačić,Lišane Ostrovičke 22,Lišane Ostrovičke,ured@os-igkovacic-lisaneostrovicke.skole.hr,023/661128,Zadarska županija ,23420
"Društvo sportske rekreacije ""MEDO SPORTAŠ""",Stenjevečka ulica 34,Zagreb,medo.sportas@gmail.com,091/2547526,Grad Zagreb,10000
Program predškole pri Osnovnoj školi Ilača-Banovci,Vladimira Nazora 24,Ilača,ured@os-ilaca-banovci.skole.hr,032/521-994 ;  032/521-039,Vukovarsko-srijemska  županija ,32248
"Dječji vrtić ""Jakšić""",Stjepana Radića 1,Jakšić,dvjaksic@gmail.com,034/ 273 614,Požeško-slavonska županija ,34308
"Dječji vrtić ""Ražanac""",Ražanac X/9,Ražanac,djecji.vrtic.razanac@gmail.com,023/323-221,Zadarska županija ,23248
"SPORTSKI KLUB ""MINIĆI""",Otona Ivekovića 4,Zaprešić,zlatka.pokupec@gmail.com,091/5045337,Zagrebačka županija ,10290
"Dječji vrtić ""Zvjezdica""",Varaždinska 25 b,Nedelišće,anne.panic@gmail.com,040/500-635,Međimurska županija ,40000
"Dječji vrtić ""Mali svijet""",Banovčeva ulica 29,Pula,ravnateljica@dvmalisvijet.hr,099/5464/001,Istarska županija ,52100
Program predškole pri OŠ Hugo Kon,Trg Katarine Zrinske,Zagreb,osnovnaskola@hugokon.org,0981933514   0995334640,Grad Zagreb,10000
"Udruga ""Lingapanga""",Stanka Vraza 10,Vukovar,linguapax@vk.htnet.hr,032/414-911,Vukovarsko-srijemska  županija ,32000
Udruga za djecu Bubamara,Stjepana Radića 117,Brodski Stupnik,udrugabubamara5@gmail.com,035/221 535,Brodsko-posavska županija ,35252
Dječji vrtić Kreativni dani,II Cvjetno naselje 9,Zagreb,info@kidsandco.eu,092/350 0083,Grad Zagreb,10000
"Dječji vrtić ""Sveta Marija Magdalena""",Sela 118,Sela,vrtic@biskupija-sisak.hr,044/776-062,Sisačko-moslavačka županija ,44273
"Skijaški klub ""SkiGuru""",Glavani 104,Kostrena,platak@skiguru.info,091/597-3361,Primorsko-goranska županija ,51000
